algorithm,input_type,size,time_ns,recursion_depth,comparisons,swaps
MergeSort,random,100,83000,4,659,0
QuickSort,random,100,95800,4,915,159
DeterministicSelect,random,100,69000,7,717,0
ClosestPair,random,100,2272000,7,138,0
MergeSort,random,500,227600,6,4782,0
QuickSort,random,500,325400,5,6195,1047
DeterministicSelect,random,500,257100,10,4017,0
ClosestPair,random,500,2357000,9,566,0
MergeSort,random,1000,582100,7,10425,0
QuickSort,random,1000,281400,6,14418,2313
DeterministicSelect,random,1000,271100,11,8190,0
ClosestPair,random,1000,2205000,10,1144,0
MergeSort,random,5000,705900,10,59062,0
QuickSort,random,5000,690600,8,82754,14555
DeterministicSelect,random,5000,691900,13,41875,0
ClosestPair,random,5000,8548700,12,6457,0
MergeSort,random,10000,1256300,11,128181,0
QuickSort,random,10000,999200,9,177535,31650
DeterministicSelect,random,10000,2235500,12,83416,0
ClosestPair,random,10000,10457300,13,13007,0
MergeSort,sorted,100,57500,4,99,0
QuickSort,sorted,100,4600,3,886,0
DeterministicSelect,sorted,100,19200,7,571,0
ClosestPair,sorted,100,66200,7,162,0
MergeSort,sorted,500,24000,6,499,0
QuickSort,sorted,500,18100,5,5216,0
DeterministicSelect,sorted,500,16200,9,3067,0
ClosestPair,sorted,500,293100,9,754,0
MergeSort,sorted,1000,59800,7,999,0
QuickSort,sorted,1000,44100,7,12089,0
DeterministicSelect,sorted,1000,46500,9,6167,0
ClosestPair,sorted,1000,632900,10,1510,0
MergeSort,sorted,5000,229200,10,4999,0
QuickSort,sorted,5000,231600,8,73008,0
DeterministicSelect,sorted,5000,108800,11,31793,0
ClosestPair,sorted,5000,4305300,12,7950,0
MergeSort,sorted,10000,67300,11,9999,0
QuickSort,sorted,10000,561900,8,171559,0
DeterministicSelect,sorted,10000,358300,12,64497,0
ClosestPair,sorted,10000,3584200,13,15902,0
MergeSort,reverse,100,6100,4,731,0
QuickSort,reverse,100,12500,4,820,50
DeterministicSelect,reverse,100,27100,5,733,0
ClosestPair,reverse,100,35500,7,162,0
MergeSort,reverse,500,24100,6,4931,0
QuickSort,reverse,500,38000,5,6129,250
DeterministicSelect,reverse,500,17000,9,3948,0
ClosestPair,reverse,500,132600,9,754,0
MergeSort,reverse,1000,133600,7,10363,0
QuickSort,reverse,1000,43200,6,12807,500
DeterministicSelect,reverse,1000,31600,10,8144,0
ClosestPair,reverse,1000,301500,10,1510,0
MergeSort,reverse,5000,665200,10,44835,0
QuickSort,reverse,5000,296100,8,73813,2500
DeterministicSelect,reverse,5000,157400,11,42178,0
ClosestPair,reverse,5000,1666500,12,7950,0
MergeSort,reverse,10000,1401200,11,94671,0
QuickSort,reverse,10000,471000,9,169872,5000
DeterministicSelect,reverse,10000,231100,12,85988,0
ClosestPair,reverse,10000,3520700,13,15902,0
MergeSort,duplicates,100,79500,4,626,0
QuickSort,duplicates,100,6700,5,698,211
DeterministicSelect,duplicates,100,8300,7,734,0
ClosestPair,duplicates,100,626100,7,104,0
MergeSort,duplicates,500,159800,6,4467,0
QuickSort,duplicates,500,27100,7,4617,1563
DeterministicSelect,duplicates,500,36000,11,4001,0
ClosestPair,duplicates,500,1257600,9,359,0
MergeSort,duplicates,1000,381700,7,9868,0
QuickSort,duplicates,1000,43300,8,10300,3491
DeterministicSelect,duplicates,1000,45500,13,8232,0
ClosestPair,duplicates,1000,2784600,10,727,0
MergeSort,duplicates,5000,799200,10,56579,0
QuickSort,duplicates,5000,310000,10,61610,23974
DeterministicSelect,duplicates,5000,263700,12,42316,0
ClosestPair,duplicates,5000,11299500,12,4413,0
MergeSort,duplicates,10000,498800,11,122463,0
QuickSort,duplicates,10000,620100,11,134816,52218
DeterministicSelect,duplicates,10000,452700,13,83847,0
ClosestPair,duplicates,10000,22982500,13,8900,0
